iso-3,2015,2016,2017,2018,2019
BHS,311000.0,360000.0,354000.0,389000.0,426000.0
PYF,268000.0,280000.0,288000.0,303000.0,11900000.0
NCL,260000.0,2660000.0,2680000.0,2760000.0,2820000.0
BLZ,212000.0,223000.0,239000.0,246000.0,255000.0
CUW,190000.0,187000.0,187000.0,186000.0,6040000.0
LCA,188000.0,177000.0,177000.0,185000.0,4240000.0
STP,185000.0,178000.0,174000.0,163000.0,166000.0
ATG,176000.0,180000.0,184000.0,3580000.0,3620000.0
VUT,175000.0,219000.0,228000.0,251000.0,265000.0
SYC,148000.0,152000.0,167000.0,179000.0,194000.0
ABW,141000.0,21600000.0,23900000.0,22000000.0,22600000.0
XKX,121000.0,151000.0,124000.0,251000.0,265000.0
WSM,121000.0,151000.0,124000.0,251000.0,265000.0
GRD,120000.0,119000.0,113000.0,116000.0,11900000.0
VCT,113000.0,113000.0,116000.0,106000.0,103000.0
CYM,93200.0,95700.0,96700.0,186000.0,6040000.0
DMA,77300.0,78400.0,75200.0,75800.0,107000000.0
TON,73500.0,80000.0,108000.0,108000.0,62100.0
KNA,73000.0,76600.0,76900.0,53300.0,54700.0
AND,71300.0,76100.0,80300.0,82600.0,87900.0
GRL,61000.0,119000.0,62200.0,62500.0,64900.00000000001
VGB,57200.0,39700.0,44000.0,40000.0,16600000.000000002
VIR,57200.0,39700.0,44000.0,40000.0,16600000.000000002
FRO,53200.0,54500.0,56600.0,56800.0,72000000.0
GIB,41400.0,41100.0,41000.0,41000.0,40500.0
KIR,41000.0,52000.0,46100.0,53300.0,54700.0
LIE,41000.0,44300.0,46400.0,47300.0,48300.0
BMU,38000.0,63900.0,65000.0,246000.0,255000.0
SMR,36600.0,36600.0,38000.0,38500.0,38800.0
MCO,34000.0,33300.0,33000.0,32700.000000000004,33800.0
PLW,23700.0,120000000.0,116000000.0,135000000.0,167000000.0
FSM,22500.0,23400.0,23100.0,56800.0,72000000.0
MHL,15500.0,112000000.0,16000.0,120000000.0,121000000.0
NRU,9400.0,9900.0,10000.0,39200000.0,21800000.0
TUV,6600.0,7600.0,8000.0,80100000.0,80800000.0
